gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4957941792	StillImage	image/jpeg	https://observation.org/photos/105274096.jpg							Pjotr Meier			http://creativecommons.org/licenses/by-nc-nd/4.0/	Pjotr Meier
4957938755	StillImage	image/jpeg	https://observation.org/photos/105399253.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957897528	StillImage	image/jpeg	https://observation.org/photos/104394316.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957897413	StillImage	image/jpeg	https://observation.org/photos/104360170.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957897264	StillImage	image/jpeg	https://observation.org/photos/105349621.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957894343	StillImage	image/jpeg	https://observation.org/photos/104783137.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957882881	StillImage	image/jpeg	https://observation.org/photos/79331602.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957872250	StillImage	image/jpeg	https://observation.org/photos/104394122.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957866112	StillImage	image/jpeg	https://observation.org/photos/104908152.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957770013	StillImage	image/jpeg	https://observation.org/photos/104694098.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957770013	StillImage	image/jpeg	https://observation.org/photos/104694097.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957765497	StillImage	image/jpeg	https://observation.org/photos/104453160.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957752320	StillImage	image/jpeg	https://observation.org/photos/105769641.jpg							Wouter Vande Velde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wouter Vande Velde
4957744938	StillImage	image/jpeg	https://observation.org/photos/104245143.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957694963	StillImage	image/jpeg	https://observation.org/photos/106331277.jpg							Garben Logghe			http://creativecommons.org/licenses/by-nc-nd/4.0/	Garben Logghe
4957571995	StillImage	image/jpeg	https://observation.org/photos/79461878.jpg							Nathalie De Bruyckere			http://creativecommons.org/licenses/by-nc-nd/4.0/	Nathalie De Bruyckere
4957558707	StillImage	image/jpeg	https://observation.org/photos/104907684.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957528321	StillImage	image/jpeg	https://observation.org/photos/104694140.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957499391	StillImage	image/jpeg	https://observation.org/photos/102518797.jpg							Dop Schoen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dop Schoen
4957494225	StillImage	image/jpeg	https://observation.org/photos/78767577.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957494225	StillImage	image/jpeg	https://observation.org/photos/78767136.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957405829	StillImage	image/jpeg	https://observation.org/photos/78178921.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957405829	StillImage	image/jpeg	https://observation.org/photos/78178920.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957405829	StillImage	image/jpeg	https://observation.org/photos/78178922.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957405829	StillImage	image/jpeg	https://observation.org/photos/78178923.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957405829	StillImage	image/jpeg	https://observation.org/photos/78178919.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957400789	StillImage	image/jpeg	https://observation.org/photos/104309346.jpg							Patricia Lohse			http://creativecommons.org/licenses/by-nc-nd/4.0/	Patricia Lohse
4957395055	StillImage	image/jpeg	https://observation.org/photos/105049398.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957379038	StillImage	image/jpeg	https://observation.org/photos/104245056.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957304344	StillImage	image/jpeg	https://observation.org/photos/103831545.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4957283507	StillImage	image/jpeg	https://observation.org/photos/80015187.jpg							Wolfgang Rowold			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wolfgang Rowold
4957238778	StillImage	image/jpeg	https://observation.org/photos/105326770.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957238778	StillImage	image/jpeg	https://observation.org/photos/105326769.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957198833	StillImage	image/jpeg	https://observation.org/photos/105641186.jpg							Marcel van der Veldt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marcel van der Veldt
4957184976	StillImage	image/jpeg	https://observation.org/photos/78740327.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957184976	StillImage	image/jpeg	https://observation.org/photos/78740325.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4957178130	StillImage	image/jpeg	https://observation.org/photos/105554157.jpg							Didier Prinzen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Didier Prinzen
4957161542	StillImage	image/jpeg	https://observation.org/photos/106124471.jpg							Ellemenopee			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ellemenopee
4957151502	StillImage	image/jpeg	https://observation.org/photos/106365240.jpg							Marco			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marco
4957047375	StillImage	image/jpeg	https://observation.org/photos/105349519.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957047375	StillImage	image/jpeg	https://observation.org/photos/105349518.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4957005357	StillImage	image/jpeg	https://observation.org/photos/105533218.jpg							Merijn			http://creativecommons.org/licenses/by-nc-nd/4.0/	Merijn
4957004363	StillImage	image/jpeg	https://observation.org/photos/84909371.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4956996049	StillImage	image/jpeg	https://observation.org/photos/105595029.jpg							Marcel van der Veldt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marcel van der Veldt
4956975370	StillImage	image/jpeg	https://observation.org/photos/99108345.jpg							Elleke			http://creativecommons.org/licenses/by-nc-nd/4.0/	Elleke
4956915467	StillImage	image/jpeg	https://observation.org/photos/105450662.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956855362	StillImage	image/jpeg	https://observation.org/photos/105399165.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956854471	StillImage	image/jpeg	https://observation.org/photos/101168616.jpg							V. B.			http://creativecommons.org/licenses/by-nc-nd/4.0/	V. B.
4956854471	StillImage	image/jpeg	https://observation.org/photos/101168615.jpg							V. B.			http://creativecommons.org/licenses/by-nc-nd/4.0/	V. B.
4956846615	StillImage	image/jpeg	https://observation.org/photos/78756060.jpg							Christian Molls			http://creativecommons.org/licenses/by-nc-nd/4.0/	Christian Molls
4956838937	StillImage	image/jpeg	https://observation.org/photos/85549707.jpg							D. P.			http://creativecommons.org/licenses/by-nc-nd/4.0/	D. P.
4956831263	StillImage	image/jpeg	https://observation.org/photos/97160022.jpg							tépé			http://creativecommons.org/licenses/by-nc-nd/4.0/	tépé
4956711362	StillImage	image/jpeg	https://observation.org/photos/106458455.jpg							Garben Logghe			http://creativecommons.org/licenses/by-nc-nd/4.0/	Garben Logghe
4956704571	StillImage	image/jpeg	https://observation.org/photos/104694164.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4956704571	StillImage	image/jpeg	https://observation.org/photos/104694165.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4956693445	StillImage	image/jpeg	https://observation.org/photos/105326802.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956693445	StillImage	image/jpeg	https://observation.org/photos/105326803.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956693445	StillImage	image/jpeg	https://observation.org/photos/105349509.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956693445	StillImage	image/jpeg	https://observation.org/photos/105349510.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956668471	StillImage	image/jpeg	https://observation.org/photos/105532517.jpg							Merijn			http://creativecommons.org/licenses/by-nc-nd/4.0/	Merijn
4956667784	StillImage	image/jpeg	https://observation.org/photos/106227349.jpg							Daniel Sutjahjo			http://creativecommons.org/licenses/by-nc/4.0/	Daniel Sutjahjo
4956609152	StillImage	image/jpeg	https://observation.org/photos/105399151.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956609152	StillImage	image/jpeg	https://observation.org/photos/105399150.jpg							Willem Hoogland			http://creativecommons.org/licenses/by-nc-nd/4.0/	Willem Hoogland
4956593678	StillImage	image/jpeg	https://observation.org/photos/84140008.jpg							Jaap Gijsbertsen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jaap Gijsbertsen
4956577696	StillImage	image/jpeg	https://observation.org/photos/98637213.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4956577696	StillImage	image/jpeg	https://observation.org/photos/98637214.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4956548660	StillImage	image/jpeg	https://observation.org/photos/106043500.jpg							Thomas			http://creativecommons.org/licenses/by-nc-nd/4.0/	Thomas
4956528463	StillImage	image/jpeg	https://observation.org/photos/101006910.jpg							Hermann Carl			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hermann Carl
4956480217	StillImage	image/jpeg	https://observation.org/photos/104245053.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
4956462034	StillImage	image/jpeg	https://observation.org/photos/103831577.jpg							Misha			http://creativecommons.org/licenses/by-nc-nd/4.0/	Misha
